---++ data10_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc11_2TeV.*.PythiaZeeJet_*Ptcut.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 0.196 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 3.98 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.multipart_K0S_*_pt*p0-*p0.merge.NTUP_HI.e*_d724_r3635_p1288_tid*_00 | 1.24 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.NTUP_HI.e1296_d724_r3635_p*_tid*_00 | 0.867 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.multipart_K0S_100_pt*p*-*p*.merge.NTUP_HI.e*_d724_r3635_p1288_tid*_00 | 1.33 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 1.29 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZee_1Lepton.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 1.6 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.J*F_pythia_jetjet.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 1.49 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZeeJet_*Ptcut.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.95 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet_1muon_3p5Ptcut.merge.NTUP_HI.e1365_d724_r3635_p*_tid*_00 | 1.89 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZeeJet_*Ptcut.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.0264 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_directJpsie3e3.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.24 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumuJet_0Ptcut.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.809 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_ppBeam_276TeV.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 0.114 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_pnBeam_276TeV.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 0.083 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_npBeam_276TeV.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 0.172 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_nnBeam_276TeV.merge.NTUP_HI.e*_d724_r3635_p*_tid*_00 | 0.128 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.JF17_pythia_jet_filter.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.986 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_directJpsimu4mu4.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.508 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_Upsilon1S_mu0mu0.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.332 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 2 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet_1muon_3Ptcut.merge.NTUP_HI.e1079_s1406_s1412_d660_r3238_p*_tid*_00 | 0.517 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_ppBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.85 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_pnBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 1.08 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_npBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.785 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_nnBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 1.74 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_ppBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.489 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_pnBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.569 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_npBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.543 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_nnBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p*_tid*_00 | 0.887 | BNL-OSG2_PHYS-HI |  |
| mc11_2TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.merge.NTUP_HI.e*_s*_s1412_d640_r*_p*_tid*_00 | 1.47 | BNL-OSG2_PHYS-HI |  |
| user.steinber.mc11_2TeV.*.PythiaPhotonJet_Unbinned*.recon.ESD.e*_s*_s1412_d*_r*.*.*_EXT0 | 2.83 | BNL-OSG2_PHYS-HI |  |
| user.steinber.mc11_2TeV.*.PythiaPhotonJet_Unbinned*.recon.ESD.e1296_d724_r3635_tid*_00.o10a.* | 4.29 | BNL-OSG2_PHYS-HI |  |
| user.steinber.mc11_2TeV.*.PythiaPhotonJet_Unbinned*.recon.ESD.e1296_d724_r3635_tid00892426_00.o10a.120712034713 | 1.41 | BNL-OSG2_PHYS-HI |  |
| group.phys-hi.mc11_2TeV.*.PythiaB_bbmu2p5mu2p5X.DESD.r17.2.8.4_r1_EXT0.* | 0.0257 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc11_2TeV.*.Pythia_directJpsimu2p5mu2p5.DESD.r17.2.8.4_r2_EXT0.* | 0.0252 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc11_2TeV.*.PythiaB_bbmu2p5mu2p5X_r17.2.13.9v1.bformat_r1_EXT0.* | 0.00422 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc11_2TeV.*.PythiaB_bbmu2p5mu2p5X_d724_r17.0.6.2.3TrigMC_r1_EXT0.* | 0.0422 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc11_2TeV.108494.Pythia_directJpsimu2p5mu2p5_r17.2.13.9v1.bformat_r1_EXT0.* | 0.00406 | CERN-PROD_PHYS-HI |  |
| user.olszewsk.mc11_2TeV.108494.Pythia_directJpsimu2p5mu2p5_d724_r17.0.6.2.3TrigMC_r2_EXT0.* | 0.0413 | CERN-PROD_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.merge.log.e*_d724_r3635_p1288_tid*_00 | 0.00309 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.evgen.EVNT.e1046_tid674990_00 | 0.00108 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.log.e1296_d724_r3635_p1288_tid01056965_00 | 0.00076 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 4.73e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZee_1Lepton.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.000472 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*F_pythia_jetjet.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 3.83e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.NTUP_HI.e1296_d724_r3635_p1288_tid01056965_00 | 0.295 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZeeJet_*Ptcut.merge.log.e1050_s1410_s1412_d668_r3242_p1290_tid01057057_00 | 2.89e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet_1muon_3p5Ptcut.merge.log.e1365_d724_r3635_p1288_tid*_00 | 0.00101 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.0835 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.merge.HITS.e1046_s1401_s1412_tid727841_00 | 0.0728 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_directJpsie3e3.merge.log.e1047_s1407_s1412_d665_r3239_p1290_tid01057150_00 | 7.42e-06 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZee_1Lepton.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.816 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumuJet_0Ptcut.merge.log.e1046_s1406_s1412_d660_r3238_p1290_tid01057058_00 | 0.000118 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*F_pythia_jetjet.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.0656 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_pnBeam_276TeV.merge.log.e*_d724_r3635_p1288_tid01056985_00 | 0.000236 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_nnBeam_276TeV.merge.log.e*_d724_r3635_p1288_tid01056987_00 | 0.000372 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.JF17_pythia_jet_filter.merge.log.e1046_s1406_s1412_d660_r3238_p1290_tid01057069_00 | 0.000146 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_Upsilon1S_mu0mu0.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.000102 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZeeJet_*Ptcut.merge.NTUP_HI.e1050_s1410_s1412_d668_r3242_p1290_tid01057057_00 | 0.047 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet_1muon_3p5Ptcut.merge.NTUP_HI.e1365_d724_r3635_p1288_tid*_00 | 0.377 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_directJpsie3e3.merge.NTUP_HI.e1047_s1407_s1412_d665_r3239_p1290_tid01057150_00 | 0.0131 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumuJet_0Ptcut.merge.NTUP_HI.e1046_s1406_s1412_d660_r3238_p1290_tid01057058_00 | 0.205 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_pnBeam_276TeV.merge.NTUP_HI.e*_d724_r3635_p1288_tid01056985_00 | 0.0868 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_nnBeam_276TeV.merge.NTUP_HI.e*_d724_r3635_p1288_tid01056987_00 | 0.133 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.JF17_pythia_jet_filter.merge.NTUP_HI.e1046_s1406_s1412_d660_r3238_p1290_tid01057069_00 | 0.26 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.000203 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Pythia_Upsilon1S_mu0mu0.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.179 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaPhotonJet_Unbinned*.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.344 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_ppBeam_276TeV.merge.log.e1015_s1407_s1412_d665_r3239_p1290_tid01057044_00 | 3.05e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_pnBeam_276TeV.merge.log.e1016_s1408_s1412_d666_r3240_p1290_tid01057042_00 | 3.45e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_npBeam_276TeV.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.000105 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_nnBeam_276TeV.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.00012 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_pnBeam_276TeV.merge.log.e*_s*_s1412_d*_r*_p1290_tid*_00 | 5.78e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_npBeam_276TeV.merge.log.e1014_s1406_s1412_d660_r3238_p1290_tid01057015_00 | 7.58e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_ppBeam_276TeV.merge.NTUP_HI.e1015_s1407_s1412_d665_r3239_p1290_tid01057044_00 | 0.0524 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_pnBeam_276TeV.merge.NTUP_HI.e1016_s1408_s1412_d666_r3240_p1290_tid01057042_00 | 0.0617 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_npBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.17 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaWmunu_1Lepton_nnBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.205 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_pnBeam_276TeV.merge.NTUP_HI.e*_s*_s1412_d*_r*_p1290_tid*_00 | 0.104 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZmumu_1Lepton_npBeam_276TeV.merge.NTUP_HI.e1014_s1406_s1412_d660_r3238_p1290_tid01057015_00 | 0.122 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.merge.log.e*_s*_s1412_d640_r*_p1289_tid*_00 | 1.99e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.merge.NTUP_HI.e*_s*_s1412_d640_r*_p1289_tid*_00 | 0.0403 | CYFRONET-LCG2_PHYS-HI |  |
| user.steinber.mc11_2TeV.106043.PythiaWenu_no_filter.recon.ESD.e1365_d724_r3635_tid00892419_00.o12a.121102153456_EXT* | 0.189 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.recon.NTUP_HI.e*_d724_r*_tid*_00 | 18 | PRAGUELCG2_PHYS-HI |  |
| mc11_2TeV.*.PythiaZeeJet_50Ptcut.recon.NTUP_HI.e1429_d724_r3635_tid00923485_00 | 0.0906 | PRAGUELCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.merge.NTUP_HI.e1296_d724_r3635_p*_tid*_00 | 7.31 | PRAGUELCG2_PHYS-HI |  |
| mc11_2TeV.*.J*_pythia_jetjet.recon.NTUP_HI.e*_s*_s1412_d*_r*_tid*_00 | 0.642 | PRAGUELCG2_PHYS-HI |  |
| mc11_2TeV.119114.Hijing_PbPb_2p75TeV_MinBias_Flow_JJFV6.recon.NTUP_HI.e*_s*_s1412_d640_r*_tid*_00 | 0.754 | PRAGUELCG2_PHYS-HI |  |

---++ mc11_5TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc11_5TeV.119115.Hijing_pPb_5TeV_MinBias.evgen.EVNT.e1424_tid00921448_00 | 0.00954 | CYFRONET-LCG2_PHYS-HI |  |

---++ mc11_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc11_7TeV.*.Pythia_LQ200_taub_D6.merge.log.e965_s1310_s1300_r3043_r2993_p851_tid642817_00 | 6.63e-06 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PythiaWenu_no_filter.merge.log.e815_a131_s1353_a142_r2900_p1035_tid01050921_00 | 0.00177 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.AlpgenJimmyZeeNp1_pt20.merge.log.e835_a131_s1353_a145_r2993_p1035_tid01050923_00 | 0.000174 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.AlpgenJimmyZtautauNp4_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p851_tid654134_00 | 2.64e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.AlpgenJimmyZeeNp1_pt20.merge.NTUP_SMWZ.e835_a131_s1353_a145_r2993_p1035_tid01050923_00 | 0.129 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowHegPythia_ggH600_WW2lep.merge.NTUP_SMWZ.e873_a131_s1353_a145_r2993_p1035_tid01050823_00 | 0.0216 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*_WW2lep.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid01385651_00 | 2.89e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*_WWlepnuqq.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid01385658_00 | 6.39e-06 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*_WW2lep.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid01385651_00 | 0.0279 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*CPS_WWlepnuqq.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 5.06e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_VBFH*NWA_WWlepnuqq.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid01385697_00 | 1.36e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*_WW2lep_EF_15_5.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 9.23e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_VBFH*_WW2lep_EF_15_5.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 3.93e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*_WWlepnuqq.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid01385658_00 | 0.00748 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*CPS_WW2lep_EF_15_5.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 2.64e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*CPS_WWlepnuqq.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid01385676_00 | 0.0178 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*NWA_WWlepnuqq.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid01385692_00 | 0.018 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_VBFH*CPS_WW2lep_EF_15_5.merge.log.e2479_a186_s1571_a145_r2993_p1035_tid01385628_00 | 1.32e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*_WW2lep_EF_15_5.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 0.0762 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_VBFH*_WW2lep_EF_15_5.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 0.0432 | CYFRONET-LCG2_PHYS-HI |  |
| mc11_7TeV.*.PowhegPythia8_AU2CT10_ggH*CPS_WW2lep_EF_15_5.merge.NTUP_SMWZ.e2479_a186_s1571_a145_r2993_p1035_tid*_00 | 0.0478 | CYFRONET-LCG2_PHYS-HI |  |
| user.pbalek.mc11_7TeV.*.J*_pythia_jetjet.merge.AOD.e815.versionB.*_der1396251901 | 1.37 | CYFRONET-LCG2_PHYS-HI |  |

---++ mc12_14TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc12_14TeV.*.Sherpa_CT10_WtaunuMassiveCBPt500_BFilter.merge.log.e2357_p1614_tid01378744_00 | 7.23e-06 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_ZmumuMassiveCBPt*_BFilter.merge.NTUP_TRUTH.e2335_p1614_tid01378785_00 | 0.0638 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WenuMassiveCBPt*_CJetVetoBVeto.merge.log.e2357_p1614_tid01378735_00 | 5.79e-07 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WenuMassiveCBPt*_CJetFilterBVeto.merge.log.e2357_p1614_tid*_00 | 6.98e-06 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WmunuMassiveCBPt500_BFilter.merge.NTUP_TRUTH.e2357_p1614_tid01378738_00 | 0.0032 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WtaunuMassiveCBPt500_CJetVetoBVeto.merge.log.e2357_p1614_tid01378748_00 | 5.27e-06 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_ZeeMassiveCBPt0_CFilterBVeto.merge.NTUP_TRUTH.e2335_p1614_tid01378815_00 | 0.0118 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WtaunuMassiveCBPt500_BFilter.merge.NTUP_TRUTH.e2357_p1614_tid01378744_00 | 0.00322 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WenuMassiveCBPt*_500_CJetFilterBVeto.merge.log.e2357_p1614_tid01378716_00 | 6.01e-05 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_ZmumuMassiveCBPt70_140_CVetoBVeto.merge.NTUP_TRUTH.e2335_p1614_tid01378795_00 | 0.0122 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WenuMassiveCBPt500_CJetFilterBVeto.merge.NTUP_TRUTH.e2357_p1614_tid*_00 | 0.00346 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.*.Sherpa_CT10_WtaunuMassiveCBPt500_CJetVetoBVeto.merge.NTUP_TRUTH.e2357_p1614_tid01378748_00 | 0.00283 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_14TeV.167816.Sherpa_CT10_ZtautauMassiveCBPt140_280_CFilterBVeto.merge.NTUP_TRUTH.e2445_p1614_tid01378770_00 | 0.00607 | CYFRONET-LCG2_PHYS-HI |  |

---++ mc12_2TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| user.olszewsk.mc12_2TeV.209036.Pythia_AUET2BCTEQ6L1_minbias_inelastic.merge.HITS.e2812_s1647_s1586_tid01449329_00_der1426679102 | 0.0132 | BNL-OSG2_PHYS-HI |  |
| user.olszewsk.mc12_2TeV.209036.Pythia_AUET2BCTEQ6L1_minbias_inelastic.merge.HITS.e2812_s1647_s1586_tid01449329_00_der1426679102 | 0.0132 | CERN-PROD_PHYS-HI |  |
| mc12_2TeV.*.Hijing_PbPb_2p75TeV_Peripheral_Flow_JJFV6.recon.ESD.e3465_s2115_s2116_r6115_tid04862478_00 | 0.119 | CYFRONET-LCG2_PHYS-HI |  |
| mc12_2TeV.*.Pythia_AUET2BCTEQ6L1_jetjet_JZ*R04.recon.NTUP_HI.e2201_s1647_s1586_r4895_tid*_00 | 10.3 | PRAGUELCG2_PHYS-HI |  |

---++ mc12_5TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| mc12_5TeV.*.Hijing_MinBias_pPb_Flow_5TeV.merge.HITS.e2160_s1825_s1586_tid01356523_00 | 0.0643 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc12_5TeV.209000.Hijing_MinBias_pPb_Flow_5TeV_tid05095247_00_r17.2.11.2.2TrigMC_r4.log.26040078 | 1.55e-05 | CERN-PROD_PHYS-HI |  |
| group.phys-hi.mc12_5TeV.209000.Hijing_MinBias_pPb_Flow_5TeV_tid05095247_00_r17.2.11.2.2TrigMC_r4_EXT*.* | 0.00379 | CERN-PROD_PHYS-HI |  |
| mc12_5TeV.*.Pythia_AUET2BCTEQ6L1_jetjet_JZ*_pPb5TeV.recon.NTUP_HI.e1838_d757_r4402_tid*_00 | 0.24 | PRAGUELCG2_PHYS-HI |  |
| mc12_5TeV.*.Pythia_AUET2BCTEQ6L1_jetjet_JZ*R04.recon.NTUP_HI.e*_s1675_s1586_r4893_tid*_00 | 2.56 | PRAGUELCG2_PHYS-HI |  |
| mc12_5TeV.*.Pythia_AUET2BCTEQ6L1_jetjet_JZ*_MaxEta_m3p0.recon.NTUP_HI.e1961_d773_r4642_tid01263661_00 | 0.0251 | PRAGUELCG2_PHYS-HI |  |
| mc12_5TeV.*.Pythia_AUET2BCTEQ6L1_jetjet_JZ*R04_MinEta_3p0.recon.NTUP_HI.e2267_s1675_s1586_r4893_tid*_00 | 0.472 | PRAGUELCG2_PHYS-HI |  |
| mc12_5TeV.*.Pythia_AUET2BCTEQ6L1_jetjet_JZ*R04_MaxEta_m3p0.recon.NTUP_HI.e2166_s1675_s1586_r4893_tid*_00 | 0.472 | PRAGUELCG2_PHYS-HI |  |

---++ mc12_8TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
