---++ data10_7TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| data11_hi.*.physics_HardProbes.merge.log.f424_p1253_p1270_tid01027530_00 | 2.04 | CYFRONET-LCG2_PHYS-HI |  |
| data11_hip.*.physics_UPC.merge.NTUP_HI.f425_p1238_p1249_tid*_00 | 2.58 | CYFRONET-LCG2_PHYS-HI |  |
| user.tbold.data11_hi.00193270.physics_MinBias.merge.RAW.hlt_repro.smk_63.reco_20.1.4.8.try4_EXT0.26495431 | 0.331 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.RAW.filtered_muons_v1 | 0.00407 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_MinBias.merge.RAW.filtered_jets_v1 | 0.451 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.RAW.filtered_electrons_v1 | 0.0363 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_MinBias.merge.RAW.filtered_cent*_v1 | 1.59 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.merge.RAW.filtered_mons_v1 | 0.00214 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.merge.RAW.filtered_muons_v1 | 0.00219 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.merge.RAW.filtered_dimons_v1 | 0.0283 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.merge.RAW.filtered_photons_v1 | 0.221 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.merge.RAW.filtered_dimuons_v1 | 0.048 | CYFRONET-LCG2_PHYS-HI |  |
| group.phys-hi.data11_hi.*.physics_HardProbes.merge.RAW.filtered_electrons_v1 | 0.0359 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.data11_hi.*.physics_HardProbes.merge.RAW.filtered_muons_v1 | 0.000818 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.data11_hi.*.physics_HardProbes.merge.RAW.filtered_photons_v1 | 0.0622 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.data11_hi.00194121.physics_MinBias.merge.RAW.filtered_cent*_*f_r20.1.4.1v1_r3_EXT1.23329865 | 0.000586 | CYFRONET-LCG2_PHYS-HI |  |
| user.olszewsk.data11_hi.00194121.physics_MinBias.merge.RAW.filtered_cent50_20f_r20.1.4.1v1_r1_EXT1.23389266 | 0.00587 | CYFRONET-LCG2_PHYS-HI |  |
| data11_hi.*.physics_MinBias.merge.RAW | 1.64 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_HardProbes.merge.RAW | 3.92 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_MinBiasOverlay.recon.ESD.f419 | 0.301 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_HardProbes.merge.NTUP_HI.f*_m* | 38 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_MinBiasOverlay.merge.NTUP_HI.f*_m* | 0.122 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_HardProbes.merge.NTUP_HI.f*_p*_p1270_tid*_00 | 39.8 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_MinBiasOverlay.merge.NTUP_HI.f*_p*_p1270_tid*_00 | 1.75 | PRAGUELCG2_PHYS-HI |  |
| data11_hi.*.physics_MinBias.merge.NTUP_HI.x165_m1035 | 0.912 | WEIZMANN-LCG2_PHYS-HI |  |
| data11_hi.*.physics_HardProbes.merge.NTUP_HI.f*_p1253_p1270_tid*_00 | 20.2 | WEIZMANN-LCG2_PHYS-HI |  |

---++ data11_hip
| *expression* | *size [TB]* | *disk* | *responsible* |
| data11_hip.*.physics_UPC.merge.NTUP_HI.f425_p1238_p1249_tid*_00 | 2.58 | BNL-OSG2_PHYS-HI |  |
| data11_hip.*.physics_UPC.merge.NTUP_HI.f425_p1238_p1249_tid*_00 | 2.58 | CYFRONET-LCG2_PHYS-HI |  |

---++ data12_8TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| data12_8TeV.*.physics_Egamma.merge.NTUP_JETMETWZ.f*_m*_p1666_tid*_00 | 0.0512 | BNL-OSG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_JETMETWZ.f*_m*_f*_p1666_tid*_00 | 0.0173 | BNL-OSG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_JETMETWZ.f*_m*_f*_p1666_tid*_00 | 0.0756 | BNL-OSG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.NTUP_JETMETWZ.r4065_p1346_r4065_p1655_tid01429332_00 | 0.00143 | BNL-OSG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.log.r4065_p1278_r4232_tid*_00 | 0.054 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.log.f*_m*_p*_p*_tid*_00 | 0.0259 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.log.r4065_p1278_p1320_p*_tid*_00 | 1.97e-05 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.log.f*_m*_p*_p*_tid*_00 | 0.0865 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.AOD_EMBLLDN.f482_m1251_r4232_tid01213817_00 | 0.0074 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.AOD_EMBLLIM.r4065_p1278_r4232_tid*_00 | 0.0232 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.AOD_EMBHHIM.r4065_p1278_r4232_tid*_00 | 0.0187 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.AOD_EMBHHUP.r4065_p1278_r4232_tid01213168_00 | 0.011 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.AOD_EMBHHDN.r4065_p1278_r*_tid*_00 | 0.0256 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.recon.AOD_EMBLHDN.r4065_p1278_r4232_tid01213228_00 | 0.014 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_HadDelayed.merge.log.r4487_p1476_p1328_p1329_tid*_00 | 9.2e-05 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.log.f486_m1261_p1320_p1319_p1318_tid01094469_00 | 1.29e-06 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_JetTauEtmiss.merge.log.f470_m1208_p1159_p1141_tid*_00 | 0.137 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.log.r4065_p1278_p1320_p1319_p1318_tid*_00 | 4.77e-06 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.log.f485_m1255_p1320_p1319_p1318_tid01094435_00 | 4.52e-07 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.log.r4065_p1278_p1320_p1319_p1318_tid01109591_00 | 1.66e-06 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.DAOD_4LHSG2.f447_m1153_p1165_p1166_tid00933114_00 | 0.0142 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.NTUP_HSG5WHU.f*_m*_p1159_p1141_tid*_00 | 0.116 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.DAOD_4LHSG2.r4065_p1278_p1320_p1315_tid*_00 | 0.0681 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_HSG5WHQ.f472_m1208_p1159_p1141_tid00943869_00 | 0.137 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_HSG5GAMZ.f473_m1213_p1159_p1141_tid00953880_00 | 0.00427 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_HadDelayed.merge.NTUP_SMWZ.r4487_p1476_p1328_p1329_tid*_00 | 5.01 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Muons.merge.NTUP_2LHSG2.r4065_p1278_p1320_p1319_p1318_tid01100771_00 | 0.0571 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_2LHSG2.r4065_p1278_p1320_p1319_p1318_tid*_00 | 0.107 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_JetTauEtmiss.merge.NTUP_HSG5ZHMETU.f*_m1208_p1159_p1141_tid*_00 | 0.365 | CYFRONET-LCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_JETMETWZ.f*_m*_p1666_tid*_00 | 0.0589 | PRAGUELCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_JETMETWZ.f*_m*_f*_p1666_tid*_00 | 0.0173 | PRAGUELCG2_PHYS-HI |  |
| data12_8TeV.*.physics_Egamma.merge.NTUP_JETMETWZ.f*_m1246_f*_p1666_tid*_00 | 0.0756 | PRAGUELCG2_PHYS-HI |  |
| data12_8TeV.00200926.physics_Muons.merge.NTUP_JETMETWZ.r4065_p1346_r4065_p1655_tid01429332_00 | 0.00143 | PRAGUELCG2_PHYS-HI |  |

---++ data12_hip
| *expression* | *size [TB]* | *disk* | *responsible* |
| data12_hip.*.physics_MinBias.recon.NTUP_HI.r*_tid*_00 | 1.49 | CYFRONET-LCG2_PHYS-HI |  |
| data12_hip.*.physics_MinBias.merge.NTUP_HI.f477_m1221 | 2.34 | PRAGUELCG2_PHYS-HI |  |
| data12_hip.00210184.physics_MinBias.recon.ESD.r4333_tid01204605_00 | 4.13 | PRAGUELCG2_PHYS-HI |  |
| data12_hip.00210184.physics_MinBias.recon.NTUP_HI.r4333_tid01204605_00 | 1.52 | PRAGUELCG2_PHYS-HI |  |

---++ data13_2p76TeV
| *expression* | *size [TB]* | *disk* | *responsible* |
| data13_2p76TeV.*.physics_HardProbes.merge.NTUP_HI.f519_p1634_p1897_tid*_00 | 0.127 | BNL-OSG2_PHYS-HI |  |
| user.olszewsk.data13_2p76TeV.00219364.physics_MinBias.merge.RAW_der1404387903 | 0.138 | CERN-PROD_PHYS-HI |  |
| data13_2p76TeV.*.express_express.merge.NTUP_HI.x252_m1297 | 0.0922 | PRAGUELCG2_PHYS-HI |  |
| data13_2p76TeV.00219305.physics_HardProbes.recon.NTUP_HI.r4968_tid01363670_00 | 6.04 | PRAGUELCG2_PHYS-HI |  |

---++ data13_hip
| *expression* | *size [TB]* | *disk* | *responsible* |
| data13_hip.*.physics_HardProbes.merge.NTUP_HI.f*_p1634_p1640_p1642_tid*_00 | 1.05 | BNL-OSG2_PHYS-HI |  |
| data13_hip.*.physics_HardProbes.merge.NTUP_HI.o10_f523_p1634_p1640_p1642_tid01421027_00 | 0.0165 | BNL-OSG2_PHYS-HI |  |
| user.miclark.data13_hip.MinBias.HBT.skim-00.*.merge | 0.0878 | BNL-OSG2_PHYS-HI |  |
| user.olszewsk.data13_hip.00217907.physics_MinBias.recon.ESD.f512_der1403027104 | 0.00444 | CERN-PROD_PHYS-HI |  |
| data13_hip.*.physics_HardProbes.merge.NTUP_HI.r*_p1729_tid*_00 | 27.4 | CYFRONET-LCG2_PHYS-HI |  |
| data13_hip.*.physics_HardProbes.merge.NTUP_HI.o10_r5866_p1729_tid01613268_00 | 0.547 | CYFRONET-LCG2_PHYS-HI |  |
| data13_hip.*.express_express.merge.NTUP_HI.x247_m1282 | 0.0739 | PRAGUELCG2_PHYS-HI |  |
| data13_hip.*.physics_MinBias.merge.NTUP_HI.f514_m1312 | 2.18 | PRAGUELCG2_PHYS-HI |  |
| data13_hip.*.physics_HardProbes.merge.NTUP_HI.f516_m1312 | 2.57 | WEIZMANN-LCG2_PHYS-HI |  |
| data13_hip.*.physics_HardProbes.merge.DESD_ONIAMUMUHI.f*_p*_tid*_00 | 3.93 | WEIZMANN-LCG2_PHYS-HI |  |
| data13_hip.00218024.physics_HardProbes.merge.DESD_ONIAMUMUHI.o10_f523_p1634_tid01416569_00 | 0.0614 | WEIZMANN-LCG2_PHYS-HI |  |
| user.eshulga.data13_hip.*.HardProbes_Plots_15.v2.1_301115_out.root.* | 0.134 | WEIZMANN-LCG2_PHYS-HI |  |
| user.eshulga.data13_hip.*.HardProbes_Plots_15.v2.1_301115_out_TRT.root.* | 0.133 | WEIZMANN-LCG2_PHYS-HI |  |
| user.eshulga.data13_hip.*.HardProbes_Plots_15.v2.1_301115_out_Balance.root.* | 0.134 | WEIZMANN-LCG2_PHYS-HI |  |
| user.eshulga.data13_hip.*.MinBias_Skim_15.v1.0_181115_Track_pA_Skim_out.root.* | 1.84 | WEIZMANN-LCG2_PHYS-HI |  |
| user.eshulga.data13_hip.*.HardProbes_Skim_15.v1.0_181115_Track_pA_Skim_out.root.* | 1.46 | WEIZMANN-LCG2_PHYS-HI |  |

---++ data14_cos
| *expression* | *size [TB]* | *disk* | *responsible* |
| data14_cos.00235727.physics_HLTPassthrough.merge.HIST.f527_m1336 | 3.42e-05 | CYFRONET-LCG2_PHYS-HI |  |

---++ data15_cos
| *expression* | *size [TB]* | *disk* | *responsible* |
| data15_cos.00253769.physics_MinBias.merge.AOD.f532_m1382 | 0.0079 | CYFRONET-LCG2_PHYS-HI |  |
| data15_cos.00253769.physics_MinBias.merge.HIST.f532_m1381 | 0.0011 | CYFRONET-LCG2_PHYS-HI |  |

